"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.828186035E0,-1.825482845E-1,1.487588882E0,-2.996407151E-1
3.848327637E0,-1.860015988E-1,1.430957794E0,-4.334675968E-1
3.868469238E0,-2.337055504E-1,1.329126358E0,-5.606057644E-1
3.888610840E0,-3.157519996E-1,1.180029869E0,-6.471043825E-1
3.908782959E0,-3.899722397E-1,1.000845909E0,-7.083334327E-1
3.928924560E0,-4.156018496E-1,7.795820236E-1,-7.668372989E-1
3.949066162E0,-3.887902796E-1,5.983295441E-1,-8.324879408E-1
3.969207764E0,-2.823306024E-1,4.379329681E-1,-9.440861344E-1
3.989379883E0,-1.664963365E-1,3.121538162E-1,-1.100597501E0
4.009521484E0,-1.179294288E-1,1.948804855E-1,-1.259784818E0
4.029663086E0,-9.493339062E-2,6.501770020E-2,-1.370907068E0
4.049835205E0,-1.034095585E-1,-6.774139404E-2,-1.415544510E0
4.069976807E0,-1.267494559E-1,-2.303209305E-1,-1.405133009E0
4.090118408E0,-1.682246029E-1,-3.664979935E-1,-1.396224380E0
4.110260010E0,-1.426168382E-1,-4.537801743E-1,-1.450952768E0
4.130432129E0,-8.948469162E-2,-5.216827393E-1,-1.486053228E0
4.150573730E0,-1.160627604E-2,-5.821599960E-1,-1.544113278E0
4.170715332E0,4.777008295E-2,-6.035337448E-1,-1.599555969E0
4.190856934E0,1.017740965E-1,-6.235160828E-1,-1.636690378E0
4.211029053E0,1.358258724E-1,-6.678266525E-1,-1.595603108E0
4.231170654E0,1.133905649E-1,-7.032299042E-1,-1.532619238E0
4.251312256E0,1.152814627E-1,-7.303857803E-1,-1.475610614E0
4.271453857E0,1.180782318E-1,-7.166261673E-1,-1.438274503E0
4.291625976E0,1.359042525E-1,-6.672611237E-1,-1.390526414E0
4.311767578E0,1.260381937E-1,-5.955190659E-1,-1.298048854E0
4.331909180E0,1.781382561E-1,-5.138244629E-1,-1.216962814E0
4.352050781E0,2.306296825E-1,-4.287452698E-1,-1.111613154E0
4.372222900E0,2.639232278E-1,-3.110609055E-1,-1.029400110E0
4.392364502E0,2.710233331E-1,-1.848001480E-1,-9.386600852E-1
4.412506103E0,2.235749364E-1,-4.979515076E-2,-8.162822127E-1
4.432678223E0,1.233887076E-1,5.667209625E-2,-6.661108732E-1
4.452819824E0,3.618872166E-2,1.939935684E-1,-5.345175266E-1
4.472961426E0,2.206760645E-2,3.423309326E-1,-4.421552420E-1
4.493103027E0,8.283185959E-2,4.875555038E-1,-3.255897760E-1
4.513275146E0,1.213817596E-1,6.209688187E-1,-2.096583843E-1
4.533416748E0,1.252923608E-1,7.863159180E-1,-1.143381745E-1
4.553558350E0,1.194319129E-1,9.767827988E-1,-3.288276494E-2
4.573699951E0,9.815394878E-3,1.142280579E0,6.131058931E-2
4.593872070E0,-8.904147148E-2,1.265717506E0,1.759154201E-1
4.614013672E0,-1.653703451E-1,1.368264198E0,3.252892494E-1
4.634155273E0,-2.063486576E-1,1.421171188E0,5.024360418E-1
4.654296875E0,-2.226908207E-1,1.436929703E0,6.785210967E-1
4.674468994E0,-2.278693914E-1,1.464000702E0,7.715095878E-1
4.694610596E0,-2.300475836E-1,1.521553993E0,7.740173340E-1
4.714752197E0,-2.640451491E-1,1.544359207E0,7.693735361E-1
4.734924316E0,-2.607462108E-1,1.488396645E0,8.133920431E-1
4.755065918E0,-2.496782541E-1,1.343628883E0,9.264197350E-1
4.775207519E0,-2.778247297E-1,1.153430939E0,1.142502785E0
4.795349121E0,-3.474382460E-1,9.570655823E-1,1.294396758E0
4.815521240E0,-3.952397704E-1,7.774972916E-1,1.342735767E0
4.835662842E0,-3.787460923E-1,6.755037308E-1,1.351518750E0
4.855804443E0,-3.442017436E-1,5.625019073E-1,1.337250829E0
4.875946045E0,-3.358100653E-1,4.064264297E-1,1.336223245E0
4.896118164E0,-3.040518761E-1,2.494583130E-1,1.357855320E0
4.916259766E0,-2.918112874E-1,7.422733307E-2,1.423215508E0
4.936401367E0,-2.981359363E-1,-8.805656433E-2,1.498718262E0
4.956542969E0,-3.360766172E-1,-2.320480347E-1,1.559717059E0
4.976715088E0,-4.257356524E-1,-3.311538696E-1,1.608764052E0
4.996856689E0,-4.458038509E-1,-3.784132004E-1,1.603431463E0
5.016998291E0,-3.828795850E-1,-4.557876587E-1,1.553034902E0
